Keyword,Volume,Keyword Difficulty,CPC,Traffic,Traffic potential,Parent Keyword
basketball footwork drills,5400,18,0.68,2700,4750,footwork drills
agility drills for basketball,4800,16,0.62,2400,4200,agility drills
defensive footwork drills basketball,3200,14,0.55,1600,2800,defensive footwork
lateral quickness drills basketball,2600,13,0.52,1300,2275,lateral quickness
pivot foot drills basketball,1800,10,0.45,900,1575,pivot drills
jump stop drills,1400,8,0.38,700,1225,jump stop
euro step drills,2200,12,0.48,1100,1925,euro step
drop step drills basketball,1600,9,0.42,800,1400,drop step
closeout drills basketball,2100,11,0.48,1050,1825,closeout
defensive slide drills,2800,12,0.48,1400,2450,defensive slides
ladder drills for basketball,3400,14,0.55,1700,2975,ladder drills
cone drills basketball,2600,11,0.48,1300,2275,cone drills
quick feet drills basketball,2200,10,0.45,1100,1925,quick feet
first step quickness drills,1900,12,0.52,950,1650,first step
change of direction drills,2400,13,0.52,1200,2100,change direction
deceleration drills basketball,1400,10,0.48,700,1225,deceleration
acceleration drills basketball,1600,11,0.48,800,1400,acceleration
speed training for basketball,3200,16,0.62,1600,2800,speed training
basketball conditioning drills,2800,14,0.55,1400,2450,conditioning
footwork for post players,1800,12,0.52,900,1575,post footwork
guard footwork drills,2100,13,0.52,1050,1825,guard footwork
triple threat footwork,1900,11,0.48,950,1650,triple threat
jab step drills,1500,9,0.42,750,1300,jab step
shot fake footwork drills,1200,8,0.38,600,1050,shot fake
footwork drills for youth basketball,2400,10,0.45,1200,2100,youth footwork
basketball footwork at home,2800,9,0.42,1400,2450,home footwork
footwork drills no equipment,2200,8,0.38,1100,1925,no equipment
defensive stance drills,1800,10,0.45,900,1575,defensive stance
boxing out footwork drills,1400,9,0.42,700,1225,boxing out
screen navigation footwork,1100,11,0.48,550,950,screen navigation
