Keyword,Volume,Keyword Difficulty,CPC,Traffic,Traffic potential,Parent Keyword
basketball injury prevention,3200,16,0.65,1600,2800,injury prevention
ankle injury prevention basketball,2400,14,0.58,1200,2100,ankle prevention
knee injury prevention basketball,2800,15,0.62,1400,2450,knee prevention
acl prevention exercises basketball,2100,18,0.72,1050,1825,acl prevention
severs disease basketball,1800,12,0.52,900,1575,severs disease
osgood schlatter basketball,2200,14,0.58,1100,1925,osgood schlatter
growing pains youth basketball,1600,10,0.48,800,1400,growing pains
basketball warmup routine,3400,12,0.48,1700,2975,warmup
dynamic warmup basketball,2800,11,0.45,1400,2450,dynamic warmup
basketball cooldown stretches,1400,8,0.35,700,1225,cooldown
ankle strengthening basketball,2600,13,0.55,1300,2275,ankle strength
knee strengthening youth athletes,2100,12,0.52,1050,1825,knee strength
hip mobility for basketball,1800,10,0.48,900,1575,hip mobility
shoulder injury prevention basketball,1200,11,0.48,600,1050,shoulder prevention
wrist injury prevention basketball,890,9,0.42,445,775,wrist prevention
finger taping basketball,1100,7,0.35,550,950,finger taping
ankle braces vs tape basketball,1600,10,0.45,800,1400,ankle support
recovery exercises basketball,1900,11,0.48,950,1650,recovery
foam rolling for basketball players,1400,9,0.42,700,1225,foam rolling
stretching routine basketball,2400,10,0.45,1200,2100,stretching
youth athlete recovery,1200,8,0.38,600,1050,youth recovery
preventing burnout youth basketball,980,12,0.52,490,850,burnout prevention
overuse injuries youth basketball,1400,14,0.58,700,1225,overuse injuries
basketball prehab exercises,1100,10,0.48,550,950,prehab
jumpers knee prevention,2200,15,0.62,1100,1925,jumpers knee
shin splints basketball,1800,11,0.48,900,1575,shin splints
back pain young basketball players,1200,10,0.48,600,1050,back pain
hip flexor exercises basketball,1600,9,0.42,800,1400,hip flexor
hamstring injury prevention basketball,1400,12,0.52,700,1225,hamstring
calf strain prevention basketball,980,10,0.45,490,850,calf strain
